pollutant,state_name,st_abbr,fips_state,fips_cnty,countyname,pw_1978,pw_1979,pw_1980,pw_1981,pw_1982,pw_1983,pw_1984,pw_1985,pw_1986,pw_1987,pw_1988,pw_1989,pw_1990
1-Hr Ozone (1979),MASSACHUSETTS,MA,25,003,Berkshire County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MASSACHUSETTS,MA,25,005,Bristol County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MASSACHUSETTS,MA,25,007,Dukes County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MASSACHUSETTS,MA,25,009,Essex County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MASSACHUSETTS,MA,25,011,Franklin County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MASSACHUSETTS,MA,25,013,Hampden County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MASSACHUSETTS,MA,25,015,Hampshire County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MASSACHUSETTS,MA,25,017,Middlesex County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MASSACHUSETTS,MA,25,019,Nantucket County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MASSACHUSETTS,MA,25,021,Norfolk County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MASSACHUSETTS,MA,25,023,Plymouth County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MASSACHUSETTS,MA,25,025,Suffolk County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MASSACHUSETTS,MA,25,027,Worcester County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,005,Allegan County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,015,Barry County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,017,Bay County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,021,Berrien County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,023,Branch County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,025,Calhoun County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,027,Cass County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,037,Clinton County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,045,Eaton County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,049,Genesee County,W,W,W,W,W,W,W,W,W,W,W,W,W
