STATE,STATE_FIPS,COUNTY,COUNTY_FIPS,YEAR,POP,RACE_WHT,RACE_BLK,RACE_NTV,RACE_ASN,RACE_2P,RACE_LTN,INCOME,POVERTY
Texas,48,Johnson County,251,2000,126811,0.7788519923350498,0.02496628841346571,0.006379572749998029,0.05221944468539796,0.0163392765611816,0.1212434252549069,18400.231296969505,0.08612028924935534
Texas,48,Johnson County,251,2010,150934,0.6910503928869572,0.02636251606662515,0.007142194601613951,0.07317105489816741,0.021274199318907602,0.18099964222772869,24526.617447444667,0.10800799079206742
Texas,48,Johnson County,251,2019,167212,0.6931380522928976,0.035655335741453964,0.004897973829629453,0.033759538789082125,0.018963949955744804,0.21358514939119203,28578.98458842667,0.10241918766994672
Texas,48,Jones County,253,1980,17268,0.8062311790595321,0.040537410238591615,0.0017373175816539264,0.004864489228630994,0,0.14662960389159138,6267.518878851054,0.1601227704424369
Texas,48,Jones County,253,1990,16490,0.667070952092177,0.040388114008489996,0.002850212249848393,0.12073984232868405,0,0.1689508793208005,9913.78605215282,0.20515463917525772
Texas,48,Jones County,253,2000,20785,0.5788789992783258,0.11508299254269906,0.0049073851335097425,0.07938417127736348,0.01265335578542218,0.2090930959826798,13659.788741881164,0.12764012509020928
Texas,48,Jones County,253,2010,20202,0.46361746361746364,0.11602811602811602,0.005791505791505791,0.1492921492921493,0.017325017325017324,0.24794574794574795,14339.703828772905,0.11098972041515617
Texas,48,Jones County,253,2019,19943,0.4261144261144261,0.14486285914857344,0.006217720503434789,0.09005666148523292,0.05726320012034298,0.2754851326279898,18081.43453843454,0.1397318278052223
Texas,48,Karnes County,255,1980,13593,0.5436621790627529,0.025380710659898477,0.0010299418818509527,0,0,0.42992716839549766,5339.305230633414,0.23284043257559037
Texas,48,Karnes County,255,1990,12455,0.2916097952629466,0.029064632677639504,0.0028101164191087916,0.20152549177037335,0,0.47498996386993175,8208.164110798876,0.3572862304295464
Texas,48,Karnes County,255,2000,15446,0.2113168457853166,0.10792438171694937,0.006797876472873236,0.17719798005956236,0.022594846562216754,0.4741680694030817,13601.676939013338,0.16670982778712937
Texas,48,Karnes County,255,2010,14824,0.20453318942255802,0.09288990825688073,0.004789530491095521,0.1867242309767944,0.013491635186184566,0.4975715056664868,18295.541242635245,0.17273701124799143
Texas,48,Karnes County,255,2019,15545,0.2135091669347057,0.06773882277259569,0.0021871984560952076,0.13039562560308782,0.03898359601157929,0.5471855902219364,27612.126664522355,0.17688223938223938
Texas,48,Kaufman County,257,1980,39015,0.7636037421504549,0.1895681148276304,0.0016916570549788542,0.0027425349224657184,0,0.04239395104447007,6510.870793284634,0.13935665769575803
Texas,48,Kaufman County,257,1990,52220,0.7558406740712371,0.13969743393335887,0.003791650708540789,0.036710072769054004,0,0.06396016851780927,11573.506472615856,0.153485254691689
