TYPE,ID,SULFUR_N,SULFUR_MEAN,SULFUR_MEDIAN,SULFUR_SD,SULFUR_MIN,SULFUR_MAX,SULFUR_LOW
MSHA,3301314,13,2.836923076923077,2.75,0.16136834754605248,2.66,3.13,FALSE
MSHA,3301357,39,1.8482051282051282,1.93,0.6614850588871257,0.95,2.68,FALSE
MSHA,3301358,241,3.17701244813278,3.24,0.4991987286419424,1.13,4.62,FALSE
MSHA,3301925,351,4.433475783475783,4.66,0.8229698129234833,1.82,5.55,FALSE
MSHA,3302044,14,2.0821428571428573,1.82,0.6664969106215961,1.82,3.69,FALSE
MSHA,3302127,16,1.71625,1.55,0.29772190603536935,1.55,2.26,FALSE
MSHA,3302539,2,3.27,3.27,0.12727922061357835,3.18,3.36,FALSE
MSHA,3302937,119,2.1247899159663866,1.59,0.8766682389897462,0.74,3.87,FALSE
MSHA,3303048,22,3.519090909090909,3.535,0.23462044507406696,3.13,4.08,FALSE
MSHA,3303288,124,3.611209677419355,3.6,0.4122032665005413,2.09,4.94,FALSE
MSHA,3303336,16,2.283125,1.73,0.9929667248536915,1.73,4.18,FALSE
MSHA,3303349,125,2.6044,2.63,0.2363171734166032,2,3.12,FALSE
MSHA,3303393,3,2.723333333333333,2.67,0.2542308662089113,2.5,3,FALSE
MSHA,3303793,196,2.904234693877551,2.9,0.46543712679081634,2.13,3.95,FALSE
MSHA,3303907,83,2.803253012048193,2.74,0.40972956111685677,2.03,3.84,FALSE
MSHA,3303930,13,3.3238461538461537,3.45,0.44133393368926555,2.23,3.8,FALSE
MSHA,3304179,167,4.072095808383233,3.94,1.5086672616677634,1.28,6.07,FALSE
MSHA,3304180,12,3.52,3.52,0,3.52,3.52,FALSE
MSHA,3304181,1,5.3,5.3,NA,5.3,5.3,FALSE
MSHA,3304187,2,2.38,2.38,0.09899494936611673,2.31,2.45,FALSE
MSHA,3304188,256,1.9019140625,1.8050000000000002,0.5537599186359962,0.7,3.31,FALSE
MSHA,3304213,229,3.3138427947598252,3.37,0.3839328931026751,2.22,5.17,FALSE
MSHA,3304229,55,2.637636363636364,2.78,0.5823514391269233,1.2,3.59,FALSE
MSHA,3304244,26,3.4661538461538464,3.45,0.09187282179521525,3.27,3.71,FALSE
MSHA,3304301,16,3.1774999999999998,3.425,0.9407195827308653,1,4.27,FALSE
MSHA,3304321,16,1.9100000000000001,1.28,1.1336136908135857,1.28,4.03,FALSE
MSHA,3304328,10,2.073,1.9649999999999999,0.4431215032772239,1.39,2.87,FALSE
MSHA,3304336,10,3.882,3.9050000000000002,0.9087329396228331,2.16,5.21,FALSE
MSHA,3304381,25,4.3187999999999995,4.1,0.2946794869005985,3.57,4.6,FALSE
MSHA,3304386,64,3.4103125,3.395,0.3253714300001115,2.68,4.27,FALSE
MSHA,3304389,15,2.37,2.22,0.6393523508765949,1.8,4.5,FALSE
MSHA,3304413,50,3.4234,3.49,0.15356458456510427,2.78,3.57,FALSE
MSHA,3304414,94,3.593404255319149,3.4699999999999998,0.42677221441004126,2.85,4.73,FALSE
MSHA,3304503,46,2.2454347826086956,2.0949999999999998,0.5059763126723495,1.34,3.45,FALSE
MSHA,3304507,1,1.53,1.53,NA,1.53,1.53,FALSE
MSHA,3304509,188,2.539095744680851,2.495,0.3332624848855071,1.67,3.5,FALSE
MSHA,3304515,36,3.3266666666666667,3.43,0.18522573101103276,3.07,3.48,FALSE
MSHA,3304520,1,2.77,2.77,NA,2.77,2.77,FALSE
MSHA,3304522,46,3.205217391304348,3.31,0.47542139965127445,1.02,3.84,FALSE
MSHA,3304523,1,3.23,3.23,NA,3.23,3.23,FALSE
MSHA,3304524,21,3.157142857142857,3.23,0.2744839313537836,2.48,3.58,FALSE
MSHA,3304526,193,2.1772538860103627,2.17,0.3284610942174245,1.53,4.45,FALSE
MSHA,3304538,31,3.53741935483871,3.58,0.14937576202172123,3.16,3.87,FALSE
MSHA,3304550,64,3.19859375,3.13,0.28258369844522896,2.74,3.9,FALSE
MSHA,3304565,75,2.5285333333333333,2.59,0.526153028128708,1.47,3.62,FALSE
MSHA,3304577,128,1.98796875,1.58,0.8322130248324568,0.84,3.71,FALSE
MSHA,3304584,25,3.2132,3.19,0.23813021647829577,2.72,3.73,FALSE
MSHA,3304585,21,3.3723809523809525,3.27,0.41434170393414127,2.82,4.72,FALSE
MSHA,3304591,133,2.743684210526316,2.89,0.5749946952116438,1.87,3.89,FALSE
MSHA,3304595,75,1.8565333333333334,1.44,0.8072015276907659,0.94,3.67,FALSE
MSHA,3304605,19,1.4589473684210525,1.46,0.09230954788958154,1.31,1.6,FALSE
MSHA,3304606,243,3.2834979423868313,3.29,0.2132988315126793,2.54,3.77,FALSE
MSHA,3304609,12,2.9366666666666665,2.93,0.18641758273165954,2.66,3.36,FALSE
MSHA,3304614,1,3.28,3.28,NA,3.28,3.28,FALSE
MSHA,3304616,1,2.11,2.11,NA,2.11,2.11,FALSE
MSHA,3304620,2,3.29,3.29,0.014142135623730963,3.28,3.3,FALSE
MSHA,3304624,2,2.645,2.645,0.41719300090006295,2.35,2.94,FALSE
MSHA,3304637,23,2.741304347826087,2.69,0.40417485356336114,1.9,3.78,FALSE
MSHA,3304645,29,2.786551724137931,2.84,0.20329914380518474,2.45,3.16,FALSE
MSHA,3304652,18,1.8716666666666666,1.78,0.6867249642109919,0.88,2.75,FALSE
MSHA,3343089,1,1.68,1.68,NA,1.68,1.68,FALSE
MSHA,3401062,1,2.88,2.88,NA,2.88,2.88,FALSE
MSHA,3401343,29,0.4786206896551724,0.46,0.04801221109044139,0.4,0.6,TRUE
